Id;Date;Gender;Keywords;Nb comments;Nb reposts
1041514813;2014-11-21 06:52:00;male;['Kangbei Travel', 'Kamba Legend', 'Travel', 'Shared', 'Kamba'];0.0;0.0
1041514813;2014-11-20 06:59:00;male;['Blue Dragon', 'White Tiger', 'Sacred Beasts', 'Suzaku', 'Blue'];1.0;0.0
1041514813;2014-11-20 06:52:00;male;['Gu Li', 'Gu Li reveals', 'words', 'poisonous', 'poignant'];0.0;0.0
1041514813;2014-11-20 06:51:00;male;['Rare Words', 'Shared', 'Man'];1.0;0.0
1041514813;2014-11-20 06:51:00;male;['Shared', 'lung washing', 'smog', 'China', 'inventory'];0.0;0.0
1041514813;2014-11-19 21:47:00;male;['Classic computer desktops', 'computer desktops originally', 'real scenes', 'Classic', 'Shared'];0.0;0.0
1041514813;2014-11-19 21:46:00;male;['Shared', 'women', 'quietly', 'read', 'words'];0.0;0.0
1041514813;2014-11-19 21:45:00;male;['Shared', 'year', 'scenery', 'miss', 'beautiful'];0.0;0.0
1041514813;2014-11-19 21:44:00;male;['Shared', 'car', 'road', 'seen', 'hit'];0.0;0.0
1041514813;2014-11-19 21:44:00;male;['happiness called waiting', 'called willingness', 'called letting', 'Share', 'waiting'];0.0;0.0
1041514813;2014-11-19 21:44:00;male;['high', 'speed', 'planes', 'Shared', 'beautiful'];0.0;0.0
1041514813;2014-11-19 21:43:00;male;['Finally found', 'shower head', 'head', 'found', 'Shared'];0.0;0.0
1041514813;2014-11-19 21:42:00;male;['photos', 'Shared', 'stimulating', 'caused', 'moment'];0.0;0.0
1041514813;2014-11-19 21:41:00;male;['forest', 'Shared', 'ginkgo', 'beautiful', 'beautiful ginkgo forest'];0.0;0.0
1041514813;2014-11-19 21:39:00;male;['Shared', 'life', 'occupy', 'sufferings'];0.0;0.0
1087770692;2014-11-05 21:25:00;male;['Popular Ifyoudonotleaveme', 'Level', 'wewilldietogether', 'Living Buddha level', 'Expert level'];4237.0;21314.0
1087770692;2014-11-18 11:14:00;male;['met good people', 'lucky', 'people', 'good', 'met'];50.0;21.0
1087770692;2014-11-16 09:42:00;male;['pure heart', 'loved ones', 'share', 'relatives', 'blessings'];1143.0;2303.0
1087770692;2014-11-14 20:05:00;male;['day today', 'day', 'Brother', 'scene', 'happy'];356.0;729.0
1087770692;2014-11-14 19:59:00;male;['comedy', 'king', 'king of comedy'];159.0;1140.0
1087770692;2014-11-14 16:17:00;male;['sets', 'Hard', 'wide', 'Hard and wide'];295.0;1130.0
1087770692;2014-11-12 16:14:00;male;['Jialing River', 'Suddenly remembered', 'muddy water', 'thin mud', 'feet'];3702.0;4565.0
1087770692;2014-11-12 10:33:00;male;['Forward Weibo', 'Weibo'];572.0;5142.0
1087770692;2014-11-10 08:38:00;male;['sweet', 'air', 'terribly good', 'good', 'weather'];1075.0;908.0
1087770692;2014-11-09 12:50:00;male;['Uncle Aquarius', 'Uncle', 'case', 'encourage', 'heart'];1156.0;4496.0
1087770692;2014-11-08 22:17:00;male;['solve puzzles', 'Words', 'solve', 'allow', 'good books'];285.0;299.0
1087770692;2014-11-07 12:01:00;male;['brother', 'follow', 'steps', 'Thank', 'follow your steps'];424.0;1001.0
1087770692;2014-11-02 11:38:00;male;['Rinpoche Om Ah', 'taxation', 'Om Ah', 'Guru Rinpoche', 'Guru'];635.0;3147.0
1087770692;2014-11-02 00:38:00;male;['Xiaobai Jugang', 'Jugang'];3617.0;2799.0
1087770692;2014-11-01 11:26:00;male;['wonderful', 'Dreaming', 'night', 'Dreaming last night'];1207.0;2784.0
1087770692;2014-10-31 19:34:00;male;['Table like', 'like'];1060.0;3553.0
1087770692;2014-10-31 13:46:00;male;['Halloween', 'Meipai', 'Happy holidays', 'viarecording', 'Happy'];2818.0;4500.0
1087770692;2014-10-31 13:07:00;male;['Lao Kong', 'Parents', 'Heart', 'charity project', 'Nortel'];253.0;641.0
1087770692;2014-10-30 13:25:00;male;['blind expectation', 'Khyentse Rinpoche', 'Right View', 'disappointment', 'blind'];876.0;3583.0
1087770692;2014-10-29 20:13:00;male;['Wealth fluttered', 'God', 'Wealth', 'handsome Zhong Kui', 'Temple'];369.0;1508.0
1087770692;2014-10-29 19:52:00;male;['true friendship', 'attention', 'ghost water bottle', 'attracted much attention', 'gained'];364.0;1924.0
1087770692;2014-10-29 17:44:00;male;['Love Farewell', 'Love', 'recommending', 'worth', 'reading'];243.0;1184.0
1087770692;2014-10-29 13:51:00;male;['Forward Weibo', 'Weibo'];253.0;1518.0
1087770692;2014-10-28 14:41:00;male;['Venice', 'Dragon Art', 'Lamp Looking', 'actor of Venice', 'Lao Xia'];2765.0;2680.0
1087770692;2014-10-28 13:46:00;male;['Brain hole cup', 'Brain', 'cup', 'hole'];305.0;889.0
1087770692;2014-10-28 13:15:00;male;['noisy birds', 'Chooyang Tsangpa Rinpoche', 'quiet', 'drive away', 'want'];542.0;1855.0
1087770692;2014-10-27 16:14:00;male;['forward Weibo', 'Weibo'];804.0;3767.0
1087770692;2014-10-27 12:55:00;male;['Brother mighty', 'mighty', 'Mian Mentioning', 'Mian', 'hurt'];206.0;879.0
1087770692;2014-10-26 16:02:00;male;['consecutive days', 'Shoot underwater scenes', 'days', 'October', 'Shoot'];1665.0;1674.0
1087770692;2014-10-26 15:38:00;male;['share pictures', 'share'];828.0;1376.0
1087770692;2014-10-25 13:49:00;male;['feel guilty', 'Mirror Flower Record', 'Absurd Mirror Flower', 'hand', 'feel'];1125.0;2177.0
1087770692;2014-10-24 14:19:00;male;['South', 'School', 'Fantasy Journey', 'Juvenile', 'Journey of Juvenile'];865.0;1357.0
1087770692;2014-10-24 10:52:00;male;['Forward Weibo', 'Weibo'];314.0;3473.0
1087770692;2014-10-22 14:05:00;male;['Uncle Aquarius', 'downs', 'highs', 'obediences', 'reversals'];1314.0;4144.0
1087770692;2014-10-21 15:42:00;male;['big data', 'great god comes', 'help balance', 'needed', 'big'];639.0;2788.0
1087770692;2014-10-21 13:18:00;male;['warm ocean', 'warm'];269.0;892.0
1087770692;2014-10-21 13:04:00;male;['Nice', 'Click', 'listen', 'Click to listen'];1466.0;1965.0
1087770692;2014-10-21 00:45:00;male;[''];1573.0;1479.0
1087770692;2014-10-20 12:05:00;male;['deep breathing frequently', 'breathing', 'practice deep', 'Quietly realize', 'frequently'];1046.0;2076.0
1087770692;2014-10-19 13:34:00;male;['Recommend good articles', 'Recommend', 'articles', 'good'];384.0;1300.0
1087770692;2014-10-19 09:21:00;male;['Sangge Sangge', 'parrots', 'Master Zhou Gongs', 'Young Master Zhou', 'cuteness'];381.0;938.0
1087770692;2014-10-18 09:37:00;male;['Dal Dalid Stud', 'Om Dalid', 'Dalid Dal', 'Stud', 'Dal'];498.0;1955.0
1087770692;2014-10-18 06:57:00;male;['happy Birthday', 'happy'];3833.0;2212.0
1087770692;2014-10-16 19:48:00;male;['effect Omban Zasaiduohong', 'turbosun Crazy', 'Crazy', 'Nammo Amitabha', 'Omban'];6188.0;5711.0
1087770692;2014-10-16 11:02:00;male;['tomorrow', 'flower', 'day', 'hope', 'bloom'];1283.0;1407.0
1087770692;2014-10-16 08:18:00;male;['Shanghai morning', 'morning'];2085.0;1501.0
1087770692;2014-10-14 11:50:00;male;['respect', 'movie', 'investor'];323.0;863.0
1087770692;2014-10-14 09:35:00;male;['Uncle Aquarius', 'Mutual encouragement', 'beautiful', 'true', 'Mutual'];932.0;1771.0
1087770692;2014-10-14 08:00:00;male;['true', 'hope'];1684.0;11471.0
1087770692;2014-10-14 07:10:00;male;['Jia Sen Que', 'Quesen Watson Hua', 'Duo Jia Sen', 'Watson Hua Chinpo', 'Hua Chinpo Saya'];542.0;2290.0
1087770692;2014-10-12 15:07:00;male;['Support', 'efforts'];6653.0;2725.0
1087770692;2014-10-12 13:31:00;male;['share pictures', 'share'];2417.0;14501.0
1087770692;2014-10-12 10:15:00;male;['Ommani baimei', 'coax house', 'coax', 'baimei coax'];844.0;30555.0
1087770692;2014-10-11 18:02:00;male;['coming Let', 'Let', 'crazy'];1185.0;3106.0
1087770692;2014-10-11 10:48:00;male;['Shen Jiuge', 'death', 'Shen', 'Life', 'Buddhism'];239.0;1135.0
1087770692;2014-10-10 16:14:00;male;['Demon Demon Today', 'Kui Fu MoSnow', 'Fu MoSnow Demon', 'Zhong Kui Fu', 'dubbing'];989.0;1124.0
1087770692;2014-10-08 11:35:00;male;['Forward Weibo', 'Weibo'];549.0;4276.0
1087770692;2014-10-07 10:13:00;male;['Forward Weibo', 'Weibo'];254.0;893.0
1087770692;2014-10-04 13:23:00;male;['Roy Martina', 'biggest breakthroughs', 'longer worry', 'think', 'Roy'];2450.0;12351.0
1087770692;2014-10-04 13:07:00;male;['Heart Sutra', 'destiny', 'good'];837.0;1748.0
1087770692;2014-10-03 12:36:00;male;['National Day holiday', 'National', 'Day', 'class', 'chaoshou'];1846.0;1162.0
1087770692;2014-10-02 11:05:00;male;['nice'];4028.0;1223.0
1087770692;2014-10-01 10:16:00;male;['Golden age', 'late', 'Actor YesActorJustNo', 'Actor'];510.0;5945.0
1087770692;2014-09-30 19:12:00;male;['National Tennis Center', 'Ghost Blowing LanternLooking', 'Dragon Technique', 'Li Na', 'Li Na gather'];790.0;1089.0
1087770692;2014-09-30 12:01:00;male;['practice relaxation', 'Let', 'relax', 'Mang', 'environments'];986.0;2873.0
1087770692;2014-09-29 23:41:00;male;['silence', 'Ouba Gangnam style', 'greatest anger', 'Weibo comment', 'Aesthetics'];1732.0;560.0
1087770692;2014-09-29 22:43:00;male;['Uncle Aquarius', 'flew home happily', 'took advantage', 'secretly sucked', 'mosquito'];3016.0;748.0
1087770692;2014-09-28 19:05:00;male;['Phoenix News Client', 'Use', 'Walking', 'soul', 'home'];524.0;1132.0
1087770692;2014-09-28 17:48:00;male;['Warm forward', 'Chen Kun', 'Hard wide', 'Warm', 'Kun'];747.0;1697.0
1087770692;2014-09-28 14:34:00;male;['Sitting', 'night', 'meal', 'Repost', 'Encourage'];1532.0;4940.0
1087770692;2014-09-27 14:39:00;male;['fresh', 'started', 'autumn', 'high and fresh', 'work has started'];3539.0;1493.0
1087770692;2014-09-27 13:48:00;male;['Let', 'powerful', 'forward', 'pessimists', 'powerless be powerful'];862.0;1302.0
1087770692;2014-09-26 14:10:00;male;['Hu Bayi', 'educated youth', 'Hill', 'sticking hoods', 'suddenly heard'];2025.0;2176.0
1087770692;2014-09-24 22:34:00;male;['Come', 'shoot', 'waiting', 'wine', 'raise'];437.0;1064.0
1087770692;2014-09-23 20:01:00;male;['Lantern Today Hu', 'Ghost Blowing Lantern', 'Blowing', 'Today', 'Lantern'];1700.0;2018.0
1087770692;2014-09-22 19:29:00;male;['mood', 'anxious mood', 'correct', 'fell'];2432.0;1402.0
1087770692;2014-09-22 14:08:00;male;['nature', 'kindness', 'mutual encouragement', 'mutual', 'suspicion'];346.0;1822.0
1087770692;2014-09-21 13:21:00;male;['Bless Li Na', 'Live', 'wonderful', 'matter', 'angle'];516.0;1426.0
1087770692;2014-09-21 12:27:00;male;['Outside', 'housework', 'Leave', 'good', 'teeth'];1499.0;1420.0
1087770692;2014-09-20 19:59:00;male;['Forward Weibo', 'Weibo'];504.0;2647.0
1087770692;2014-09-19 18:14:00;male;['Originally', 'harm', 'course', 'help', 'help and harm'];391.0;1550.0
1087770692;2014-09-19 12:27:00;male;['Use curiosity', 'Use', 'try', 'Walking', 'bracelet'];379.0;823.0
1087770692;2014-09-18 12:04:00;male;['PowertoGo Simple', 'focused', 'Power', 'Simple', 'Remember'];499.0;1040.0
1087770692;2014-09-17 13:14:00;male;['Aquarius gods', 'gods'];710.0;1494.0
1087770692;2014-09-16 14:52:00;male;['hearts', 'Uncle Aquarius', 'disturb', 'people', 'Success'];858.0;2208.0
1087770692;2014-09-15 14:06:00;male;['kilograms', 'lost', 'Come and PK', 'steps', 'required'];907.0;1500.0
1087770692;2014-09-15 10:59:00;male;['maternal love', 'like', 'song', 'turbosun', 'grassland'];326.0;4143.0
1087770692;2014-09-13 20:45:00;male;['Forward Weibo', 'Weibo'];786.0;7687.0
1087770692;2014-09-12 10:17:00;male;['breaking body type', 'sitting posture', 'Vairocana', 'fault', 'sitting'];900.0;1818.0
1087770692;2014-09-11 13:30:00;male;['Uncle Aquarius', 'butterfly', 'maggot transform', 'cocoon', 'Pacific'];880.0;1817.0
1087770692;2014-09-10 10:56:00;male;['happy holidays', 'Teacher Fei Yong', 'happy', 'teacher', 'learning attitude'];413.0;1522.0
1087770692;2014-09-10 10:02:00;male;['Day', 'Day gift', 'Teacher', 'Specially purchased', 'Happy Time'];3165.0;456.0
1087770692;2014-09-09 15:53:00;male;['Try', 'start', 'stop'];490.0;483.0
1087770692;2014-09-09 14:17:00;male;['Kun Book', 'Kun', 'seriously', 'play'];2008.0;2103.0
1087770692;2014-09-09 11:14:00;male;['Dongshen Tonghua', 'walking', 'try', 'care', 'Tonghua'];392.0;1466.0
1087770692;2014-09-09 10:23:00;male;['Love', 'reality', 'encourage', 'find', 'truth'];311.0;900.0
